m,n,filesize,alloc,disk_IO,cuda_alloc,gpu_memcopy,compute,memcopy_back,total
128,6272,3211264,0.0000100000,0.0021950000,0.0006800000,0.0010780000,0.0004620000,0.0000190000,0.0049440000
128,8320,4259840,0.0000090000,0.0029310000,0.0006390000,0.0015520000,0.0004970000,0.0000190000,0.0061240000
128,10368,5308416,0.0000120000,0.0040680000,0.0008550000,0.0018020000,0.0005320000,0.0000210000,0.0077440000
128,12416,6356992,0.0000090000,0.0035380000,0.0005980000,0.0020810000,0.0005710000,0.0000160000,0.0072700000
128,14464,7405568,0.0000070000,0.0040700000,0.0006030000,0.0024740000,0.0006050000,0.0000180000,0.0082150000
2176,128,1114112,0.0000100000,0.0013260000,0.0007550000,0.0001920000,0.0003650000,0.0000210000,0.0032130000
2176,2176,18939904,0.0000080000,0.0091850000,0.0009150000,0.0059430000,0.0005020000,0.0000220000,0.0171530000
2176,4224,36765696,0.0000100000,0.0174380000,0.0009460000,0.0117820000,0.0006370000,0.0000290000,0.0315170000
2176,6272,54591488,0.0000170000,0.0259410000,0.0009440000,0.0176490000,0.0007730000,0.0000280000,0.0460780000
2176,8320,72417280,0.0000180000,0.0329400000,0.0009620000,0.0231260000,0.0009110000,0.0000270000,0.0587100000
2176,10368,90243072,0.0000200000,0.0375820000,0.0009480000,0.0288970000,0.0010450000,0.0000290000,0.0691960000
2176,12416,108068864,0.0004760000,0.0461230000,0.0009790000,0.0346570000,0.0011950000,0.0000280000,0.0841420000
2176,14464,125894656,0.0000140000,0.0710490000,0.0011420000,0.0402810000,0.0013270000,0.0000370000,0.1145730000
4224,128,2162688,0.0000170000,0.0017930000,0.0006210000,0.0007330000,0.0003780000,0.0000230000,0.0039820000
4224,2176,36765696,0.0000080000,0.0168460000,0.0009330000,0.0117500000,0.0006800000,0.0000330000,0.0309330000
4224,4224,71368704,0.0000130000,0.0325660000,0.0008400000,0.0227610000,0.0009910000,0.0000330000,0.0578080000
4224,6272,105971712,0.0000160000,0.0481490000,0.0008610000,0.0337960000,0.0012960000,0.0000350000,0.0847540000
4224,8320,140574720,0.0000170000,0.0655240000,0.0009380000,0.0448750000,0.0016000000,0.0000360000,0.1136390000
4224,10368,175177728,0.0000150000,0.0877890000,0.0009790000,0.0556400000,0.0019100000,0.0000360000,0.1470030000
4224,12416,209780736,0.0000140000,0.1160140000,0.0009820000,0.0667770000,0.0022310000,0.0000390000,0.1867190000
4224,14464,244383744,0.0000130000,0.1453080000,0.0011290000,0.0780620000,0.0025300000,0.0000470000,0.2277870000
6272,128,3211264,0.0000150000,0.0023140000,0.0006130000,0.0010040000,0.0003880000,0.0000300000,0.0047740000
6272,2176,54591488,0.0000070000,0.0290970000,0.0010260000,0.0174420000,0.0007390000,0.0000410000,0.0491010000
6272,4224,105971712,0.0000150000,0.0548990000,0.0009490000,0.0338390000,0.0010990000,0.0000410000,0.0914890000
6272,6272,157351936,0.0000150000,0.0812370000,0.0009750000,0.0501730000,0.0014660000,0.0000530000,0.1345810000
6272,8320,208732160,0.0000150000,0.1083620000,0.0010560000,0.0666340000,0.0018160000,0.0000420000,0.1785800000
6272,10368,260112384,0.0000170000,0.1347200000,0.0010320000,0.0827720000,0.0021800000,0.0000420000,0.2214200000
6272,12416,311492608,0.0000160000,0.1474610000,0.0009640000,0.0991470000,0.0025420000,0.0000380000,0.2508180000
6272,14464,362872832,0.0000160000,0.1650280000,0.0010420000,0.1157710000,0.0029040000,0.0000410000,0.2854370000
8320,128,4259840,0.0000170000,0.0027490000,0.0005500000,0.0013410000,0.0003970000,0.0000330000,0.0054470000
8320,2176,72417280,0.0000060000,0.0338710000,0.0009750000,0.0230880000,0.0009080000,0.0000440000,0.0595860000
8320,4224,140574720,0.0000120000,0.0648390000,0.0008950000,0.0447630000,0.0014430000,0.0000450000,0.1126060000
8320,6272,208732160,0.0000170000,0.0968320000,0.0009260000,0.0670260000,0.0019620000,0.0000420000,0.1673690000
8320,8320,276889600,0.0000170000,0.1216060000,0.0009800000,0.0882530000,0.0024790000,0.0000440000,0.2140010000
8320,10368,345047040,0.0000170000,0.1580750000,0.0010120000,0.1100050000,0.0030660000,0.0000450000,0.2728580000
8320,12416,413204480,0.0000170000,0.2069020000,0.0011250000,0.1315430000,0.0035170000,0.0000450000,0.3438060000
8320,14464,481361920,0.0000180000,0.2188770000,0.0011030000,0.1535090000,0.0040420000,0.0000450000,0.3782620000
10368,128,5308416,0.0000170000,0.0031750000,0.0005780000,0.0017360000,0.0004030000,0.0000360000,0.0063160000
10368,2176,90243072,0.0000060000,0.0412850000,0.0010020000,0.0288280000,0.0009820000,0.0000470000,0.0728470000
10368,4224,175177728,0.0000150000,0.0804090000,0.0008930000,0.0557930000,0.0015540000,0.0000470000,0.1393080000
10368,6272,260112384,0.0000160000,0.1192820000,0.0009610000,0.0833090000,0.0021520000,0.0000450000,0.2063520000
10368,8320,345047040,0.0000140000,0.1493010000,0.0010180000,0.1098900000,0.0027410000,0.0000490000,0.2636220000
10368,10368,429981696,0.0000120000,0.1950460000,0.0010420000,0.1371910000,0.0033270000,0.0000820000,0.3373380000
10368,12416,514916352,0.0000120000,0.2346410000,0.0011180000,0.1637630000,0.0039020000,0.0000470000,0.4041390000
10368,14464,599851008,0.0000120000,0.2740070000,0.0011700000,0.1909630000,0.0044950000,0.0000480000,0.4713480000
12416,128,6356992,0.0000150000,0.0039920000,0.0005600000,0.0019810000,0.0004180000,0.0000390000,0.0073700000
12416,2176,108068864,0.0000070000,0.0495010000,0.0009870000,0.0345130000,0.0011370000,0.0000580000,0.0868940000
12416,4224,209780736,0.0000150000,0.0960390000,0.0009710000,0.0669020000,0.0018840000,0.0000510000,0.1664880000
12416,6272,311492608,0.0000140000,0.1344470000,0.0009340000,0.0990400000,0.0026120000,0.0000490000,0.2377140000
12416,8320,413204480,0.0000160000,0.1706560000,0.0010440000,0.1315510000,0.0033610000,0.0000540000,0.3073210000
12416,10368,514916352,0.0000110000,0.2153420000,0.0011250000,0.1639160000,0.0041110000,0.0000700000,0.3852320000
12416,12416,616628224,0.0000130000,0.2700900000,0.0012020000,0.1964170000,0.0048430000,0.0000520000,0.4732790000
12416,14464,718340096,0.0000160000,0.3267920000,0.0012300000,0.2287580000,0.0055770000,0.0000600000,0.5631010000
14464,128,7405568,0.0000130000,0.0046700000,0.0010050000,0.0024140000,0.0004160000,0.0000530000,0.0090740000
14464,2176,125894656,0.0000200000,0.0585250000,0.0010200000,0.0400160000,0.0012210000,0.0000550000,0.1015690000
14464,4224,244383744,0.0000150000,0.1131580000,0.0010130000,0.0779400000,0.0020390000,0.0000570000,0.1949030000
14464,6272,362872832,0.0000150000,0.1716020000,0.0010810000,0.1159200000,0.0028510000,0.0000620000,0.2922250000
14464,8320,481361920,0.0000140000,0.2192210000,0.0011110000,0.1533470000,0.0036550000,0.0000550000,0.3780520000
14464,10368,599851008,0.0000090000,0.2556940000,0.0011490000,0.1910840000,0.0045090000,0.0000630000,0.4531830000
14464,12416,718340096,0.0000120000,0.3268340000,0.0012360000,0.2287850000,0.0052970000,0.0000540000,0.5628640000
14464,14464,836829184,0.0000110000,0.3500350000,0.0013260000,0.2664030000,0.0061060000,0.0000560000,0.6246300000
