m,n,filesize,alloc,disk_IO,cuda_alloc,gpu_memcopy,compute,memcopy_back,total
128,128,65536,0.0000080000,0.0006740000,0.4867750000,0.0000360000,0.0000440000,0.0000200000,0.4879280000
14464,14464,836829184,0.0000070000,15.1761520000,0.0023860000,0.2689460000,0.0060920000,0.0001050000,15.4545560000
14464,14464,836829184,0.0000130000,0.4204870000,0.0014400000,0.2666300000,0.0061150000,0.0000530000,0.6954940000
14464,14464,836829184,0.0000180000,0.3842470000,0.0013020000,0.2665410000,0.0060980000,0.0000550000,0.6589250000
