m,n,filesize,alloc,disk_IO,cuda_alloc,gpu_memcopy,compute,memcopy_back,total
4224,8320,140574720,0.0000150000,0.0750400000,0.0008500000,0.0498950000,0.0016350000,0.0000400000,0.1280280000
4224,10368,175177728,0.0000210000,0.0914260000,0.0008940000,0.0627780000,0.0019500000,0.0000400000,0.1576600000
4224,12416,209780736,0.0000210000,0.1096570000,0.0009200000,0.0748520000,0.0022970000,0.0000400000,0.1883440000
4224,14464,244383744,0.0000200000,0.1255210000,0.0009550000,0.0870280000,0.0025620000,0.0000370000,0.2166210000
6272,128,3211264,0.0000180000,0.0021740000,0.0004590000,0.0010860000,0.0004040000,0.0000270000,0.0044430000
6272,2176,54591488,0.0000050000,0.0252660000,0.0008580000,0.0194840000,0.0007870000,0.0000420000,0.0469430000
6272,4224,105971712,0.0000170000,0.0475270000,0.0007160000,0.0379380000,0.0011750000,0.0000530000,0.0878860000
6272,6272,157351936,0.0000180000,0.0697250000,0.0008300000,0.0562670000,0.0015130000,0.0000380000,0.1288570000
6272,8320,208732160,0.0000190000,0.0918310000,0.0008070000,0.0745540000,0.0018590000,0.0000430000,0.1695900000
6272,10368,260112384,0.0000180000,0.1145550000,0.0008340000,0.0906900000,0.0022400000,0.0000390000,0.2088670000
6272,12416,311492608,0.0000180000,0.1372700000,0.0008670000,0.1119700000,0.0025750000,0.0000410000,0.2532240000
6272,14464,362872832,0.0000180000,0.1598480000,0.0008920000,0.1293210000,0.0029060000,0.0000400000,0.2935250000
8320,128,4259840,0.0000180000,0.0023990000,0.0004430000,0.0014530000,0.0004540000,0.0000330000,0.0050690000
8320,2176,72417280,0.0000050000,0.0322860000,0.0008000000,0.0256210000,0.0009590000,0.0000420000,0.0602350000
8320,4224,140574720,0.0000180000,0.0623860000,0.0007070000,0.0499760000,0.0014630000,0.0000430000,0.1150350000
8320,6272,208732160,0.0000180000,0.0920430000,0.0007710000,0.0746980000,0.0019900000,0.0000440000,0.1700420000
8320,8320,276889600,0.0000170000,0.1221370000,0.0008280000,0.0987710000,0.0025270000,0.0000430000,0.2248030000
8320,10368,345047040,0.0000170000,0.1521610000,0.0008420000,0.1230270000,0.0030760000,0.0000450000,0.2796620000
8320,12416,413204480,0.0000180000,0.1797600000,0.0008820000,0.1475710000,0.0036280000,0.0000450000,0.3323890000
8320,14464,481361920,0.0000180000,0.2089430000,0.0009530000,0.1719400000,0.0041030000,0.0000450000,0.3865150000
10368,128,5308416,0.0000180000,0.0031060000,0.0004500000,0.0017820000,0.0004710000,0.0000370000,0.0061320000
10368,2176,90243072,0.0000070000,0.0395240000,0.0008070000,0.0322770000,0.0010260000,0.0000470000,0.0742180000
10368,4224,175177728,0.0000170000,0.0762750000,0.0007280000,0.0627410000,0.0015990000,0.0000470000,0.1418760000
10368,6272,260112384,0.0000180000,0.1133510000,0.0007900000,0.0928780000,0.0021940000,0.0000460000,0.2097670000
10368,8320,345047040,0.0000190000,0.1498850000,0.0008690000,0.1230690000,0.0027870000,0.0000490000,0.2771760000
10368,10368,429981696,0.0000180000,0.1865860000,0.0008880000,0.1533300000,0.0033720000,0.0000470000,0.3447620000
10368,12416,514916352,0.0000110000,0.2233390000,0.0009680000,0.1836250000,0.0039250000,0.0000490000,0.4124320000
10368,14464,599851008,0.0000110000,0.2601870000,0.0009850000,0.2149680000,0.0045760000,0.0000470000,0.4812990000
12416,128,6356992,0.0000180000,0.0036340000,0.0004570000,0.0021960000,0.0004690000,0.0000400000,0.0071080000
12416,2176,108068864,0.0000060000,0.0468620000,0.0008030000,0.0386320000,0.0011740000,0.0000530000,0.0880850000
12416,4224,209780736,0.0000120000,0.0904040000,0.0007840000,0.0748990000,0.0019430000,0.0000530000,0.1685640000
12416,6272,311492608,0.0000180000,0.1342810000,0.0008200000,0.1105110000,0.0026870000,0.0000530000,0.2488550000
12416,8320,413204480,0.0000190000,0.1776970000,0.0009010000,0.1476500000,0.0034060000,0.0000510000,0.3302220000
12416,10368,514916352,0.0000190000,0.2213910000,0.0009630000,0.1834990000,0.0041480000,0.0000520000,0.4106520000
12416,12416,616628224,0.0000170000,0.2648170000,0.0010340000,0.2198150000,0.0048870000,0.0000530000,0.4911520000
12416,14464,718340096,0.0000170000,0.3076340000,0.0012110000,0.2568290000,0.0056380000,0.0000520000,0.5719150000
14464,128,7405568,0.0000180000,0.0038590000,0.0004410000,0.0025120000,0.0004830000,0.0000420000,0.0076320000
14464,2176,125894656,0.0000050000,0.0540340000,0.0008540000,0.0435280000,0.0012730000,0.0000560000,0.1002930000
14464,4224,244383744,0.0000180000,0.1043100000,0.0007920000,0.0871370000,0.0020710000,0.0000560000,0.1948570000
14464,6272,362872832,0.0000110000,0.1544690000,0.0008770000,0.1294970000,0.0028870000,0.0000570000,0.2882870000
14464,8320,481361920,0.0000180000,0.2045710000,0.0010220000,0.1717720000,0.0037190000,0.0000570000,0.3816810000
14464,10368,599851008,0.0000180000,0.2550020000,0.0009630000,0.2139770000,0.0045810000,0.0000580000,0.4751240000
14464,12416,718340096,0.0000180000,0.3043630000,0.0010420000,0.2564810000,0.0053430000,0.0000570000,0.5678490000
14464,14464,836829184,0.0000130000,0.3551190000,0.0012270000,0.2986300000,0.0061550000,0.0001240000,0.6618150000
